1,1,570,140,20,50,1,-1,-1,-1
1,2,610,130,20,50,1,-1,-1,-1
1,3,590,130,20,50,1,-1,-1,-1
1,4,340,130,20,50,1,-1,-1,-1
1,5,580,120,20,50,1,-1,-1,-1
1,6,350,120,20,50,1,-1,-1,-1
1,7,600,120,20,50,1,-1,-1,-1
1,8,620,120,20,50,1,-1,-1,-1
1,9,570,110,20,50,1,-1,-1,-1
1,10,500,110,20,50,1,-1,-1,-1
2,1,340,140,20,50,1,-1,-1,-1
2,2,610,130,20,50,1,-1,-1,-1
2,3,590,130,20,50,1,-1,-1,-1
2,4,570,130,20,50,1,-1,-1,-1
2,5,350,130,20,50,1,-1,-1,-1
2,6,580,120,20,50,1,-1,-1,-1
2,7,600,120,20,50,1,-1,-1,-1
2,8,620,120,20,50,1,-1,-1,-1
2,9,300,20,20,50,1,-1,-1,-1
3,1,580,140,20,50,1,-1,-1,-1
3,2,340,140,20,50,1,-1,-1,-1
3,3,620,130,20,50,1,-1,-1,-1
3,4,600,130,20,50,1,-1,-1,-1
3,5,570,130,20,50,1,-1,-1,-1
3,6,350,120,20,50,1,-1,-1,-1
3,7,590,120,20,50,1,-1,-1,-1
3,8,610,120,20,50,1,-1,-1,-1
3,9,580,110,20,50,1,-1,-1,-1
4,1,620,140,20,50,1,-1,-1,-1
4,2,580,140,20,50,1,-1,-1,-1
4,3,610,130,20,50,1,-1,-1,-1
4,4,590,130,20,50,1,-1,-1,-1
4,5,570,130,20,50,1,-1,-1,-1
4,6,360,130,20,50,1,-1,-1,-1
4,7,340,130,20,50,1,-1,-1,-1
4,8,600,120,20,50,1,-1,-1,-1
4,9,620,110,20,50,1,-1,-1,-1
4,10,580,110,20,50,1,-1,-1,-1
5,1,580,140,20,50,1,-1,-1,-1
5,2,610,130,20,50,1,-1,-1,-1
5,3,590,130,20,50,1,-1,-1,-1
5,4,570,130,20,50,1,-1,-1,-1
5,5,360,130,20,50,1,-1,-1,-1
5,6,340,130,20,50,1,-1,-1,-1
5,7,620,120,20,50,1,-1,-1,-1
5,8,600,120,20,50,1,-1,-1,-1
5,9,580,110,20,50,1,-1,-1,-1
6,1,620,130,20,50,1,-1,-1,-1
6,2,600,130,20,50,1,-1,-1,-1
6,3,580,130,20,50,1,-1,-1,-1
6,4,350,130,20,50,1,-1,-1,-1
6,5,340,120,20,50,1,-1,-1,-1
6,6,570,120,20,50,1,-1,-1,-1
6,7,610,120,20,50,1,-1,-1,-1
6,8,590,120,20,50,1,-1,-1,-1
7,1,580,140,20,50,1,-1,-1,-1
7,2,610,130,20,50,1,-1,-1,-1
7,3,590,130,20,50,1,-1,-1,-1
7,4,570,130,20,50,1,-1,-1,-1
7,5,350,130,20,50,1,-1,-1,-1
7,6,340,120,20,50,1,-1,-1,-1
7,7,600,120,20,50,1,-1,-1,-1
7,8,620,120,20,50,1,-1,-1,-1
7,9,480,90,20,50,1,-1,-1,-1
8,1,620,140,20,50,1,-1,-1,-1
8,2,580,140,20,50,1,-1,-1,-1
8,3,610,130,20,50,1,-1,-1,-1
8,4,590,130,20,50,1,-1,-1,-1
8,5,570,130,20,50,1,-1,-1,-1
8,6,340,130,20,50,1,-1,-1,-1
8,7,600,120,20,50,1,-1,-1,-1
8,8,580,110,20,50,1,-1,-1,-1
